Our Classification|Values|Img Path|user classification
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596557894949632512.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596558781235911168.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596558781235911168.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596558781235911168.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596558949261471488.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596558993726205440.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559078091566592.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559078091566592.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559124409538560.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559155384238592.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559179753603584.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559210040730112.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559260938653184.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559273412961280.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559291342034944.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559319647940352.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559333940530176.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559433612193024.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559449960988672.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559559214219776.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559720120744448.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559998927383040.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596559998927383040.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560138466087168.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560138466087168.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560216262472960.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560297471901696.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560366820924416.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560576746059776.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560679499993856.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596560757768406528.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561167183501312.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561200784803840.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561372756795392.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561393364584704.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561409749677056.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596561435832051200.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596576552928502528.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596576682030669056.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596577029317042944.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596577141592266496.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|http://localhost:8080/static/1596577246166699008.000000.jpg|covid
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|disagree/1596583040308135936.000000.jpg|other
covid|[4.145017662438022e-10, 100, 1.1959745693790325e-08]|1596583092979941888.000000.jpg|other
